title,link,author,short_des,date,img
"No, a ‘yogi’ wasn’t found alive in meditative state 300 years after his burial",https://www.altnews.in/no-a-yogi-wasnt-found-alive-in-meditative-state-300-years-after-his-burial/,Pooja Chaudhuri,"A video of a man with multiple sores and blood oozing out from his wounds is widely circulating on social media with the claim that he is ‘Siddhar (Yogi)’ who was buried alive 300 years ago in Valliyur, Tamil Nadu and was recently found... ",21st February 2020,https://www.altnews.in/wp-content/uploads/2020/02/Custom-dimensions-1200x628-px-45-300x200.jpeg
Indian politicians on a spree of denying on-record statements: Alt News compilation,https://www.altnews.in/indian-politicians-on-a-spree-of-denying-on-record-statements-alt-news-compilation/,Jignesh Patel,"On February 14, Union Minister Prakash Javadekar held a press conference in Pune. Several media outlets quoted the minister saying that he denied ever having called Delhi Chief Minister Arvind Kejriwal a terrorist. Responding to the statement,... ",21st February 2020,https://www.altnews.in/wp-content/uploads/2020/02/Untitled-design-36-300x200.jpg
Video viral as non-Muslims offering namaz after coronavirus outbreak in China is baseless,https://www.altnews.in/a-video-is-viral-with-false-claim-that-non-muslims-are-offering-namaz-for-protection-against-coronavirus/,Kinjal,"A two-minute video which shows a group of people offering namaz (Islamic prayers) is viral on social media. In the video, while one group can be seen offering prayers facing a mosque, another group is facing a different direction. Several social media... ",21st February 2020,https://www.altnews.in/wp-content/uploads/2020/02/untitled_design_-_custom_dimensions-7-300x200.jpeg
Truth behind photo of man carrying wife during 1971 Bangladesh liberation war,https://www.altnews.in/truth-behind-photo-of-man-carrying-wife-during-1971-bangladesh-liberation-war/,Archit Mehta,"An image of a man carrying a woman whose clothes are torn has gone viral on social media. According to the accompanying message, the photo is from late poet and author Dr Dharamvir Bharti’s book. The image is claimed to capture a scene from the... ",20th February 2020,https://www.altnews.in/wp-content/uploads/2020/02/Untitled-design-3-300x200.jpg
"Old, unrelated image viral as condoms found in Shaheen Bagh",https://www.altnews.in/old-unrelated-image-viral-as-condoms-found-in-shaheen-bagh/,Kinjal,"Since December 15, peaceful protests led by women against the Citizenship (Amendment) Act have been taking place at Shaheen Bagh, New Delhi.. A few days ago, a picture of used condoms dumped in heaps is being circulated with the claim that they were... ",20th February 2020,https://www.altnews.in/wp-content/uploads/2020/02/Untitled-design1-2-300x200.jpg
Photo of wall painted ahead of Trump’s Ahmedabad visit morphed and shared online,https://www.altnews.in/photo-of-wall-painted-ahead-of-trumps-gujarat-visit-morphed-and-shared-online/,Jignesh Patel,"A photo supposedly of a man urinating in front of a wall painted with murals of US President Donald Trump and Prime Minister Narendra Modi has been shared on social media. Twitter user Santosh Addagulla posted the image with the message, “Can’t... ",20th February 2020,https://www.altnews.in/wp-content/uploads/2020/02/Untitled-design-Custom-dimensions-11-300x200.jpeg
Jamia violence: Student from video of police lathi-charge not the man seen in arson video,https://www.altnews.in/jamia-violence-student-from-video-of-police-lathi-charge-not-the-man-seen-in-arson-video/,Pooja Chaudhuri,"A CCTV footage of police brutality inside Jamia Millia Islamia (JMI) campus has continued to top social media discourse since it was made public on February 16. In the latest attempt to dilute the violence against students, BJP volunteer Vikas Pandey... ",19th February 2020,https://www.altnews.in/wp-content/uploads/2020/02/Custom-dimensions-1200x628-px-44-300x200.jpeg
title,link,author,short_des,date,img
"Mohan Bhagwat did not say nationalism means Hitler, fascism – Media misreports",https://www.altnews.in/mohan-bhagwat-did-not-say-nationalism-means-hitler-fascism-media-misreports/,Archit Mehta,"Rashtriya Swayamsevak Sangh (RSS) chief, Mohan Bhagwat, was at Mukherjee University, Ranchi on February 19. Since then, several media outlets have reported that Bhagwat said, “Avoid using the word ‘nationalism’, as it is derived from... ",24th February 2020,https://www.altnews.in/wp-content/uploads/2020/02/FI-Alt1-300x200.png
"No, Ratan Tata has not announced that JNU students will not be recruited by Tata Group",https://www.altnews.in/no-ratan-tata-has-not-announcement-that-jnu-students-will-not-be-recruited-by-tata-group/,Archit Mehta,"An image of Ratan Tata has gone viral on social media particularly on WhatsApp. The text on the image reads, “Big announcement by Rata Tata Sahab: From now on Tata Group of companies not to recruit any of the JNU #Students.” The message... ",24th February 2020,https://www.altnews.in/wp-content/uploads/2020/02/FI-Alt1-1-300x200.png
Fictitious list of names viral as accused in naval spy racket,https://www.altnews.in/fictitious-list-of-names-viral-as-accused-in-naval-spy-racket/,Jignesh Patel,"Earlier this week, multiple social media users shared a list of names of “13 navy personnel” who were accused of spying for Pakistan. One of the prominent among them was Advocate Prashant Bhushan. On February 18, Bhushan shared a hitherto... ",23rd February 2020,https://www.altnews.in/wp-content/uploads/2020/02/Naval-officers-Pakistan-espionage-300x200.jpg
"No, a ‘yogi’ wasn’t found alive in meditative state 300 years after his burial",https://www.altnews.in/no-a-yogi-wasnt-found-alive-in-meditative-state-300-years-after-his-burial/,Pooja Chaudhuri,"A video of a man with multiple sores and blood oozing out from his wounds is widely circulating on social media with the claim that he is ‘Siddhar (Yogi)’ who was buried alive 300 years ago in Valliyur, Tamil Nadu and was recently found... ",21st February 2020,https://www.altnews.in/wp-content/uploads/2020/02/Custom-dimensions-1200x628-px-45-300x200.jpeg
Indian politicians on a spree of denying on-record statements: Alt News compilation,https://www.altnews.in/indian-politicians-on-a-spree-of-denying-on-record-statements-alt-news-compilation/,Jignesh Patel,"On February 14, Union Minister Prakash Javadekar held a press conference in Pune. Several media outlets quoted the minister saying that he denied ever having called Delhi Chief Minister Arvind Kejriwal a terrorist. Responding to the statement,... ",21st February 2020,https://www.altnews.in/wp-content/uploads/2020/02/Untitled-design-36-300x200.jpg
Video viral as non-Muslims offering namaz after coronavirus outbreak in China is baseless,https://www.altnews.in/a-video-is-viral-with-false-claim-that-non-muslims-are-offering-namaz-for-protection-against-coronavirus/,Kinjal,"A two-minute video which shows a group of people offering namaz (Islamic prayers) is viral on social media. In the video, while one group can be seen offering prayers facing a mosque, another group is facing a different direction. Several social media... ",21st February 2020,https://www.altnews.in/wp-content/uploads/2020/02/untitled_design_-_custom_dimensions-7-300x200.jpeg
Truth behind photo of man carrying wife during 1971 Bangladesh liberation war,https://www.altnews.in/truth-behind-photo-of-man-carrying-wife-during-1971-bangladesh-liberation-war/,Archit Mehta,"An image of a man carrying a woman whose clothes are torn has gone viral on social media. According to the accompanying message, the photo is from late poet and author Dr Dharamvir Bharti’s book. The image is claimed to capture a scene from the... ",20th February 2020,https://www.altnews.in/wp-content/uploads/2020/02/Untitled-design-3-300x200.jpg
"Old, unrelated image viral as condoms found in Shaheen Bagh",https://www.altnews.in/old-unrelated-image-viral-as-condoms-found-in-shaheen-bagh/,Kinjal,"Since December 15, peaceful protests led by women against the Citizenship (Amendment) Act have been taking place at Shaheen Bagh, New Delhi.. A few days ago, a picture of used condoms dumped in heaps is being circulated with the claim that they were... ",20th February 2020,https://www.altnews.in/wp-content/uploads/2020/02/Untitled-design1-2-300x200.jpg
Photo of wall painted ahead of Trump’s Ahmedabad visit morphed and shared online,https://www.altnews.in/photo-of-wall-painted-ahead-of-trumps-gujarat-visit-morphed-and-shared-online/,Jignesh Patel,"A photo supposedly of a man urinating in front of a wall painted with murals of US President Donald Trump and Prime Minister Narendra Modi has been shared on social media. Twitter user Santosh Addagulla posted the image with the message, “Can’t... ",20th February 2020,https://www.altnews.in/wp-content/uploads/2020/02/Untitled-design-Custom-dimensions-11-300x200.jpeg
Jamia violence: Student from video of police lathi-charge not the man seen in arson video,https://www.altnews.in/jamia-violence-student-from-video-of-police-lathi-charge-not-the-man-seen-in-arson-video/,Pooja Chaudhuri,"A CCTV footage of police brutality inside Jamia Millia Islamia (JMI) campus has continued to top social media discourse since it was made public on February 16. In the latest attempt to dilute the violence against students, BJP volunteer Vikas Pandey... ",19th February 2020,https://www.altnews.in/wp-content/uploads/2020/02/Custom-dimensions-1200x628-px-44-300x200.jpeg
